run_id,batch_id,transaction_timestamp,payment_id,amount,card_network,card_isin,status,label,payment_type,co_badged_card_networks,is_eligible_for_debit_routing,saving_percentage,is_debit_routed,is_regulated
8ad09564-3cd7-4419-9b22-8c4b11786c27,1,2025-06-18T09:30:22.634Z,pay_66fGiIVuIWxM9bc1bSMv,1,Visa,411111,succeeded,Not Co-badged Debit,debit,N/A,No,0,No,N/A
8ad09564-3cd7-4419-9b22-8c4b11786c27,1,2025-06-18T09:30:25.096Z,pay_yknntPtJbP917g5cP9Bo,80,Accel,440000,succeeded,Regulated Debit,debit,"ACCEL, STAR, VISA",Yes,0.11,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,1,2025-06-18T09:30:26.885Z,pay_aCyGMpt3FftPkan17q5M,48,Accel,440000,succeeded,Regulated Debit,debit,"ACCEL, STAR, VISA",Yes,0.1,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,1,2025-06-18T09:30:28.688Z,pay_PVgPdnvRjsgV9IyUvapc,10,Visa,400003,succeeded,Global Cheaper (Special),debit,"VISA, PULSE, NYCE",Yes,0,No,false
8ad09564-3cd7-4419-9b22-8c4b11786c27,1,2025-06-18T09:30:30.836Z,pay_jubhE1NRXOpyOL4G7ohi,15,Star,440000,succeeded,Regulated Debit,debit,"STAR, ACCEL, VISA",Yes,0.07,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,1,2025-06-18T09:30:32.626Z,pay_DjKNdDmiAVUHY7xasqYu,68,Accel,440000,succeeded,Regulated Debit,debit,"ACCEL, STAR, VISA",Yes,0.11,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,1,2025-06-18T09:30:34.481Z,pay_L6khepgKj2Lxo8arxn52,48,Accel,440000,succeeded,Regulated Debit,debit,"ACCEL, STAR, VISA",Yes,0.1,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,1,2025-06-18T09:30:36.697Z,pay_vXxa8V4wFWT75ydL5IAB,82,Mastercard,555555,succeeded,Credit,credit,N/A,No,0,No,N/A
8ad09564-3cd7-4419-9b22-8c4b11786c27,1,2025-06-18T09:30:38.809Z,pay_S1lw9iIh7q3ShO4Ofz7P,38,Visa,411111,succeeded,Not Co-badged Debit,debit,N/A,No,0,No,N/A
8ad09564-3cd7-4419-9b22-8c4b11786c27,1,2025-06-18T09:30:40.620Z,pay_4KehLruEpeAXsuKgGlP7,38,Accel,440000,succeeded,Regulated Debit,debit,"ACCEL, STAR, VISA",Yes,0.08,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,2,2025-06-18T09:30:22.635Z,N/A,39,N/A,N/A,"FAILED_HS_HTTP_HTTP 429: ""<!DOCTYPE html>\n<html>\n<head>\n  <title>Rate Limit Exceeded</title>\n</head>\n<body>\n  <h1>Rate Limit Exceeded</h1>\n  <p>Too Many Requests - You have exceeded the rate limit. Please try again aft",Unregulated Debit (Special),debit,N/A,No,0,N/A,N/A
8ad09564-3cd7-4419-9b22-8c4b11786c27,2,2025-06-18T09:30:23.879Z,pay_4tupRnuER1Hr6cEx67Bo,10,Visa,400003,succeeded,Global Cheaper (Special),debit,"VISA, PULSE, NYCE",Yes,0,No,false
8ad09564-3cd7-4419-9b22-8c4b11786c27,2,2025-06-18T09:30:26.570Z,pay_QFr6bO2vXYpRcpcV4JPv,96,Accel,440000,succeeded,Regulated Debit,debit,"ACCEL, STAR, VISA",Yes,0.12,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,2,2025-06-18T09:30:28.586Z,pay_81eEzEJG65aLdHhQ71V6,72,Mastercard,555555,succeeded,Credit,credit,N/A,No,0,No,N/A
8ad09564-3cd7-4419-9b22-8c4b11786c27,2,2025-06-18T09:30:30.167Z,pay_Q1KpqeNC4gO2dbhYLnIr,8,Mastercard,555555,succeeded,Credit,credit,N/A,No,0,No,N/A
8ad09564-3cd7-4419-9b22-8c4b11786c27,2,2025-06-18T09:30:31.748Z,pay_WZDAeI08B7fzUR8NRhLN,94,Accel,440000,succeeded,Regulated Debit,debit,"ACCEL, STAR, VISA",Yes,0.12,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,2,2025-06-18T09:30:33.704Z,pay_DkoliUSKHCRBdfmkssc5,100,Accel,440000,succeeded,Regulated Debit,debit,"ACCEL, STAR, VISA",Yes,0.12,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,2,2025-06-18T09:30:35.585Z,pay_qI7x1I7z4ok8By3Ync9l,83,Accel,440000,succeeded,Regulated Debit,debit,"ACCEL, STAR, VISA",Yes,0.11,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,2,2025-06-18T09:30:37.614Z,pay_SRkcigzTzWyjJVktfazL,56,Accel,440000,succeeded,Regulated Debit,debit,"ACCEL, STAR, VISA",Yes,0.1,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,2,2025-06-18T09:30:39.475Z,pay_B2dXAU31zXO8D20voRro,22,Accel,500251,succeeded,Unregulated Debit,debit,"ACCEL, STAR, MASTERCARD",Yes,0.75,Yes,false
8ad09564-3cd7-4419-9b22-8c4b11786c27,3,2025-06-18T09:30:22.636Z,pay_ZEujvEzcj7dgzZqIgRaa,89,Accel,440000,succeeded,Regulated Debit,debit,"ACCEL, STAR, VISA",Yes,0.12,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,3,2025-06-18T09:30:26.501Z,pay_chaLsu5opAyjnaY2v7g2,76,Accel,500251,succeeded,Unregulated Debit,debit,"ACCEL, STAR, MASTERCARD",Yes,0.39,Yes,false
8ad09564-3cd7-4419-9b22-8c4b11786c27,3,2025-06-18T09:30:28.635Z,pay_4SUPiocjIrk6HuBegsBP,66,Accel,440000,succeeded,Regulated Debit,debit,"ACCEL, STAR, VISA",Yes,0.11,Yes,true
8ad09564-3cd7-4419-9b22-8c4b11786c27,3,2025-06-18T09:30:30.855Z,pay_7HsUV8k7btE6F7arF18b,70,Accel,500251,succeeded,Unregulated Debit,debit,"ACCEL, STAR, MASTERCARD",Yes,0.41,Yes,false
